original_title,genres,popularity
Avatar,Action|Adventure|Fantasy|Science Fiction,150.437577
Pirates of the Caribbean: At World's End,Adventure|Fantasy|Action,139.082615
Spectre,Action|Adventure|Crime,107.376788
The Dark Knight Rises,Action|Crime|Drama|Thriller,112.31295
John Carter,Action|Adventure|Science Fiction,43.926995
Spider-Man 3,Fantasy|Action|Adventure,115.699814
Tangled,Animation|Family,48.681969
Avengers: Age of Ultron,Action|Adventure|Science Fiction,134.279229
Harry Potter and the Half-Blood Prince,Adventure|Fantasy|Family,98.885637
Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy,155.790452
Superman Returns,Adventure|Fantasy|Action|Science Fiction,57.925623
Quantum of Solace,Adventure|Action|Thriller|Crime,107.928811
Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,145.847379
The Lone Ranger,Action|Adventure|Western,49.046956
Man of Steel,Action|Adventure|Fantasy|Science Fiction,99.398009
The Chronicles of Narnia: Prince Caspian,Adventure|Family|Fantasy,53.978602
The Avengers,Science Fiction|Action|Adventure,144.448633
Pirates of the Caribbean: On Stranger Tides,Adventure|Action|Fantasy,135.413856
Men in Black 3,Action|Comedy|Science Fiction,52.035179
The Hobbit: The Battle of the Five Armies,Action|Adventure|Fantasy,120.965743
The Amazing Spider-Man,Action|Adventure|Fantasy,89.866276
Robin Hood,Action|Adventure,37.668301
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,94.370564
The Golden Compass,Adventure|Fantasy,42.990906
King Kong,Adventure|Drama|Action,61.22601
Titanic,Drama|Romance|Thriller,100.025899
Captain America: Civil War,Adventure|Action|Science Fiction,198.372395
Battleship,Thriller|Action|Adventure|Science Fiction,64.928382
Jurassic World,Action|Adventure|Science Fiction|Thriller,418.708552
Skyfall,Action|Adventure|Thriller,93.004993
Spider-Man 2,Action|Adventure|Fantasy,35.149586
Iron Man 3,Action|Adventure|Science Fiction,77.68208
Alice in Wonderland,Family|Fantasy|Adventure,78.530105
X-Men: The Last Stand,Adventure|Action|Science Fiction|Thriller,3.857526
Monsters University,Animation|Family,89.186492
Transformers: Revenge of the Fallen,Science Fiction|Action|Adventure,21.939663
Transformers: Age of Extinction,Science Fiction|Action|Adventure,116.840296
